"област","община","населено място","брой население по ПА","брой население по НА"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","9248","8668"
"БЛАГОЕВГРАД","БАНСКО","С.ГОСТУН","30","44"
"БЛАГОЕВГРАД","БАНСКО","ГР.ДОБРИНИЩЕ","2789","2575"
"БЛАГОЕВГРАД","БАНСКО","С.КРЕМЕН","145","150"
"БЛАГОЕВГРАД","БАНСКО","С.МЕСТА","217","208"
"БЛАГОЕВГРАД","БАНСКО","С.ОБИДИМ","74","86"
"БЛАГОЕВГРАД","БАНСКО","С.ОСЕНОВО","42","50"
"БЛАГОЕВГРАД","БАНСКО","С.ФИЛИПОВО","662","622"
"БЛАГОЕВГРАД","БЕЛИЦА","С.БАБЯК","759","719"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","3326","3039"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ЗЛАТАРИЦА","78","85"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГЪЛЪБОВО","34","36"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ДАГОНОВО","784","726"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КРАИЩЕ","2644","2464"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КУЗЬОВО","260","242"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ЛЮТОВО","219","217"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ОРЦЕВО","161","153"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ПАЛАТИК","217","203"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГОРНО КРАИЩЕ","1260","1184"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ЧЕРЕШОВО","277","248"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ИЗГРЕВ","733","591"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.БЕЛО ПОЛЕ","8890","615"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.БИСТРИЦА","600","57"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","81284","72872"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.БУЧИНО","131","49"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.БЪЛГАРЧЕВО","594","370"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ГАБРОВО","799","36"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ГОРНО ХЪРСОВО","543","77"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ДЕБОЧИЦА","57","27"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ДЕЛВИНО","593","114"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ДРЕНКОВО","53","72"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ДЪБРАВА","622","143"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЕЛЕНОВО","536","190"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЗЕЛЕНДОЛ","217","189"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.КЛИСУРА","19","27"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЛЕШКО","1379","197"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЛИСИЯ","8","7"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.МАРУЛЕВО","556","74"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.МОЩАНЕЦ","24","49"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ОБЕЛ","36","50"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ПАДЕШ","523","526"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ПОКРОВНИК","3460","894"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.РИЛЦИ","5430","798"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.СЕЛИЩЕ","267","281"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЛОГОДАЖ","4900","284"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЦЕРОВО","723","690"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БАНИЧАН","590","543"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БОРОВО","1148","1044"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","3862","3437"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БУКОВО","1109","961"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ГОСПОДИНЦИ","523","508"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","21854","19979"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ДЕЛЧЕВО","36","27"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ДОБРОТИНО","27","32"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.КОРНИЦА","2344","1631"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ЛЪЖНИЦА","2068","1651"
